1,,,ACTIVOS,Debit,
,,,,,
11,,,ACTIVOS,,
,,,,,
111,,,DISPONIBILIDADES,,
,,,,,
1110,,,DISPONIBILIDADES,,
,,,,,
,01,,EFECTIVO,,
,,,,,
,,0101,Oficina central - ML,,
,,,,,
,,0102,Oficina central - ME,,
,,,,,
,,0201,Agencias - ML,,
,,,,,
,,0202,Agencias - ME,,
,,,,,
,,0301,Fondos fijos - ML,,
,,,,,
,,0302,Fondos fijos - ME,,
,,,,,
,,0401,Remesas locales en tránsito - ML,,
,,,,,
,,0402,Remesas locales en tránsito - ME,,
,,,,,
,,9701,Otros-ML,,
,,,,,
,,9702,Otros-ME,,
,,,,,
,02,,DEPÓSITOS EN EL BCR,,
,,,,,
,,0101,Depósitos en cuenta corriente - ML,,
,,,,,
,,0102,Depósitos en cuenta corriente - ME,,
,,,,,
,,0201,Depósitos otros- ML,,
,,,,,
,,0202,Depósitos otros- ME,,
,,,,,
,,9901,Intereses y otros por cobrar - ML,,
,,,,,
,,9902,Intereses y otros por cobrar - ME,,
,,,,,
,03,,DOCUMENTOS A CARGO DE OTROS BANCOS,,
,,,,,
,,0100,Compensaciones pendientes,,
,,,,,
,,0200,Rechazos por compensación,,
,,,,,
,04,,DEPÓSITOS EN BANCOS LOCALES,,
,,,,,
,,0101,A la vista - ML,,
,,,,,
,,0102,A la vista - ME,,
,,,,,
,,0201,Depósitos de ahorro - ML,,
,,,,,
,,0202,Depósitos de ahorro - ME,,
,,,,,
,,0301,A plazo - ML,,
,,,,,
,,0302,A plazo - ME,,
,,,,,
,,9901,Intereses y otros por cobrar - ML,,
,,,,,
,,9902,Intereses y otros por cobrar - ME,,
,,,,,
,05,,DEPÓSITOS EN BANCOS DE INVERSIÓN,,
,,,,,
,,0101,A la vista - ML,,
,,,,,
,,0102,A la vista - ME,,
,,,,,
,,0201,Depósitos de ahorro - ML,,
,,,,,
,,0202,Depósitos de ahorro - ME,,
,,,,,
,,0301,Depósitos a plazo- ML,,
,,,,,
,,0302,Depósitos a plazo- ME,,
,,,,,
,,9901,Intereses y otros por cobrar - ML,,
,,,,,
,,9902,Intereses y otros por cobrar - ME,,
,,,,,
,06,,DEPÓSITOS EN OTRAS ENTIDADES DEL SISTEMA FINANCIERO,,
,,,,,
,,0101,A la vista - ML,,
,,,,,
,,0102,A la vista - ME,,
,,,,,
,,0201,Depósitos de ahorro - ML,,
,,,,,
,,0202,Depósitos de ahorro - ME,,
,,,,,
,,0301,Depósitos a plazo- ML,,
,,,,,
,,0302,Depósitos a plazo- ME,,
,,,,,
,,9901,Intereses y otros por cobrar - ML,,
,,,,,
,,9902,Intereses y otros por cobrar - ME,,
,,,,,
,07,,DEPÓSITOS EN BANCOS EXTRANJEROS,,
,,,,,
,,0101,A la vista - ML,,
,,,,,
,,0102,A la vista - ME,,
,,,,,
,,0201,A plazo - ML,,
,,,,,
,,0202,A plazo - ME,,
,,,,,
,,0301,Remesas en tránsito - ML,,
,,,,,
,,0302,Remesas en tránsito - ME,,
,,,,,
,,9901,Intereses y otros por cobrar - ML,,
,,,,,
,,9902,Intereses y otros por cobrar - ME,,
,,,,,
,08,,DEPÓSITOS RESTRINGIDOS,,
,,,,,
,,0101,Depósitos en el BCR-ML,,
,,,,,
,,0102,Depósitos en el BCR-ME,,
,,,,,
