codigo,descripcion
114GBI,PRÉSTAMOS GARANTIZADOS POR BANCOS DE INVERSIÓN
114GDBI,PRÉSTAMOS TOTALMENTE GARANTIZADOS CON DEPÓSITOS EN MONEDA DE CURSO LEGAL
114GSGRBI,PRÉSTAMOS CON GARANTIA DE SOCIEDADES DE GARANTÍA RECÍPROCA
114GAFL,PRÉSTAMOS TOTALMENTE GARANTIZADOS CON ACTIVOS DE FÁCIL LIQUIDACION
AVALGAFL,AVALES Y FIANZAS GARANTIZADOS EN SU TOTALIDAD POR ACTIVOS DE FÁCIL LIQUIDACIÓN
114NATEXT,PRÉSTAMOS OTORG. A PERSONAS NAT. NO RESIDENTES O P/SER INVERTIDOS EN EL EXT.
NUMACCION,NÚMERO DE ACCIONES
21MAS1ANIO,PRÉSTAMOS CONVERTIBLES EN ACCIONES PACTADO A MÁS DE UN AÑO
4120NATEXT,CONTING. POR AVALES Y FIANZAS OTORG.A PERSONAS NO RESIDENTES O P/INV. EN EL EXT.
AVALEXTERI,AVALES OTORGADOS PARA SER INVERTIDOS EN EL EXTERIOR
AVALGDMC,AVALES Y FIANZAS GARANTIZADOS EN SU TOTALIDAD POR DEPÓSITOS EN MONEDA DE CURSO LEGAL
CONTRARBI,CONTRATOS A FUTURO CON ARBITRAJE
CREDCARIBI,TOTAL DE CARTERA CALIFICADA EN CATEGORÍA C1 C2 D1 D2 Y E
CREDEMPBI,TOTAL CARTERA DE CREDITOS AVALES FIANZAS Y OTRAS GARANTÍAS OTORGADAS A EMPLEADOS
CREDRELBI,TOTAL DE CRÉDITOS RELACIONADOS
BIPRESBRUT-1,SALDO PRÉSTAMOS BRUTOS REGISTRADOS EL AÑO ANTERIOR EN EL MISMO MES DEL ENVÍO
